Dataset,RF_Variation,Accuracy_Mean,Accuracy_Std,CV_Splits
Synthetic_Classification,RF_default,0.9080000000000001,0.022494443758403974,5
Synthetic_Classification,RF_simple,0.89,0.024083189157584613,5
Iris,RF_default,0.9466666666666667,0.02666666666666666,5
Iris,RF_simple,0.9466666666666667,0.02666666666666666,5
Wine,RF_default,0.9323809523809523,0.022955037278504828,5
Wine,RF_simple,0.8931746031746032,0.05820139490042095,5
BreastCancer,RF_default,0.9525694767893184,0.013070992193665067,5
BreastCancer,RF_simple,0.9280080732805465,0.025575450779894753,5
Madelon,RF_default,0.7915384615384615,0.016747339274674786,5
Madelon,RF_simple,0.76,0.028997041269185776,5
Arcene,RF_default,0.8,0.0570087712549569,5
Arcene,RF_simple,0.72,0.062048368229954264,5
